,Open,High,Low,Close,Volume,Turnover
16-Sep-2016,     8780.85,     8847.65,     8750.50,     8779.85,      274039556,        14430.63
19-Sep-2016,     8788.45,     8824.30,     8774.20,     8808.40,      135814177,         7364.64
20-Sep-2016,     8816.10,     8816.45,     8759.30,     8775.90,      140718486,         7035.07
21-Sep-2016,     8790.30,     8826.85,     8757.30,     8777.15,      153441330,         7572.41
22-Sep-2016,     8873.35,     8893.35,     8837.80,     8867.45,      178136644,         9305.56
23-Sep-2016,     8880.75,     8885.20,     8820.30,     8831.55,      191618169,         9793.98
26-Sep-2016,     8807.90,     8809.55,     8715.10,     8723.05,      169050086,         8518.50
27-Sep-2016,     8748.90,     8768.50,     8690.50,     8706.40,      156100521,         7446.12
28-Sep-2016,     8711.20,     8767.05,     8703.15,     8745.15,      170643694,         8348.19
29-Sep-2016,     8792.70,     8800.65,     8558.25,     8591.25,      384395249,        19467.30
30-Sep-2016,     8581.50,     8637.15,     8555.20,     8611.15,      187333285,         8849.27
03-Oct-2016,     8666.15,     8745.20,     8635.00,     8738.10,      141472076,         7173.62
04-Oct-2016,     8770.00,     8783.65,     8736.10,     8769.15,      189990151,         8251.59
05-Oct-2016,     8806.35,     8806.95,     8731.40,     8743.95,      162103951,         6866.33
06-Oct-2016,     8768.70,     8781.15,     8684.65,     8709.55,      168713605,         8114.93
07-Oct-2016,     8721.70,     8723.70,     8663.80,     8697.60,      155053800,         8144.30
10-Oct-2016,     8735.35,     8745.80,     8703.95,     8708.80,      111794053,         5159.83
13-Oct-2016,     8671.50,     8681.55,     8541.35,     8573.35,      218861324,        10581.55
14-Oct-2016,     8594.00,     8604.45,     8549.80,     8583.40,      167848947,         9613.47
17-Oct-2016,     8612.95,     8615.40,     8506.15,     8520.40,      203516577,         8590.35
18-Oct-2016,     8556.05,     8685.10,     8555.90,     8677.90,      216626083,         9162.11
19-Oct-2016,     8697.50,     8698.75,     8636.70,     8659.10,      177397872,         7790.01
20-Oct-2016,     8693.35,     8727.00,     8678.30,     8699.40,      165952091,         7120.32
21-Oct-2016,     8708.60,     8709.10,     8652.05,     8693.05,      162162047,         8022.44
24-Oct-2016,     8709.85,     8736.95,     8684.15,     8708.95,      161966274,         6876.28
25-Oct-2016,     8721.70,     8722.65,     8663.45,     8691.30,      195696479,         8718.02
26-Oct-2016,     8657.30,     8657.30,     8596.60,     8615.25,      226133074,         9696.90
27-Oct-2016,     8607.10,     8624.85,     8550.25,     8615.25,      250336333,        12300.53
28-Oct-2016,     8625.00,     8653.75,     8581.75,     8638.00,      180906084,         8953.72
30-Oct-2016,     8672.35,     8678.25,     8616.25,     8625.70,       16610872,          805.89
01-Nov-2016,     8653.15,     8669.60,     8614.50,     8626.25,      170068995,         8441.30
02-Nov-2016,     8542.80,     8549.50,     8504.85,     8514.00,      160130480,         7683.07
03-Nov-2016,     8499.85,     8537.65,     8476.15,     8484.95,      175773254,         7558.06
04-Nov-2016,     8503.60,     8504.00,     8400.25,     8433.75,      231783152,        11798.48
07-Nov-2016,     8535.75,     8535.85,     8481.45,     8497.05,      178070534,         8436.70
08-Nov-2016,     8540.00,     8559.40,     8480.10,     8543.55,      201759648,         8515.57
09-Nov-2016,     8067.50,     8476.20,     8002.25,     8432.00,      323968654,        15536.37
10-Nov-2016,     8555.60,     8598.45,     8510.70,     8525.75,      271196930,        12386.39
11-Nov-2016,     8456.65,     8460.60,     8284.95,     8296.30,      275221694,        12485.11
