,Open,High,Low,Close,Volume,Turnover
27-Sep-2007,     7804.55,     7866.50,     7747.10,     7833.65,       13890432,         1218.36
28-Sep-2007,     7838.25,     8082.85,     7836.05,     8042.20,       14519648,         1333.31
01-Oct-2007,     8008.55,     8085.15,     7913.30,     7987.50,       15269311,         1116.18
03-Oct-2007,     8029.80,     8235.80,     7820.25,     8097.90,       16643646,         1305.04
04-Oct-2007,     8083.30,     8086.70,     7828.65,     8035.90,       12071277,         1068.58
05-Oct-2007,     8038.10,     8066.55,     7789.70,     7845.25,        9151805,          814.78
08-Oct-2007,     7853.15,     7935.45,     7516.45,     7626.40,        8005301,          734.86
09-Oct-2007,     7580.90,     7916.45,     7535.05,     7895.85,       11767156,         1014.21
10-Oct-2007,     7960.65,     8081.05,     7907.35,     8030.65,       13993104,         1113.77
11-Oct-2007,     8054.30,     8177.75,     8005.50,     8158.80,        7678977,          655.04
12-Oct-2007,     8093.65,     8132.10,     7889.80,     7934.00,       10882920,          788.05
15-Oct-2007,     7962.55,     8306.35,     7962.55,     8286.30,       11148721,         1070.91
16-Oct-2007,     8361.40,     8491.65,     8240.30,     8452.20,       15503406,         1455.31
17-Oct-2007,     8071.55,     8218.10,     7641.50,     8099.90,       12262046,         1141.00
18-Oct-2007,     8055.15,     8192.45,     7519.70,     7608.75,       15138441,         1407.90
19-Oct-2007,     7637.40,     7718.90,     7279.30,     7423.80,       17613454,         1339.03
22-Oct-2007,     7374.35,     7621.65,     7289.20,     7568.00,       11884062,         1031.22
23-Oct-2007,     7621.05,     8118.75,     7621.05,     8101.10,       16010762,         1165.79
24-Oct-2007,     8167.95,     8276.65,     8058.55,     8228.65,       17120181,         1351.33
25-Oct-2007,     8228.20,     8528.25,     8185.55,     8428.65,       22560452,         1828.78
26-Oct-2007,     8426.40,     8804.90,     8257.05,     8749.90,       14045123,         1277.82
29-Oct-2007,     8918.05,     9122.35,     8865.65,     9000.75,       14939568,         1475.28
30-Oct-2007,     9024.55,     9237.80,     8832.50,     8934.15,       31076990,         2244.92
31-Oct-2007,     8906.30,     9116.80,     8839.40,     9013.15,       13491371,         1027.78
